id,timestamp,temperature_C,power_consumption_W,signal_strength_dBm,network_load_percent,anomaly_type
1,2025-11-06 20:12:20.236675,29.926412292705503,2642.888764230316,-87.62816678707944,73.29578567809732,normal
2,2025-11-06 22:00:56.236675,30.825793277206614,2557.9463031835535,-87.15930477039934,60.31525022320766,normal
3,2025-11-07 00:35:16.236675,36.54742007648046,2928.5313174559037,-82.69394110433653,57.700763574937625,normal
4,2025-11-06 22:38:16.236675,21.90251809078992,2812.929420847268,-85.10466269634529,57.177366783423366,normal
5,2025-11-06 20:56:38.236675,31.428594300588948,2785.6726978336715,-90.56954006123249,66.83392344954707,normal
6,2025-11-07 00:36:14.236675,32.29127726190999,2707.61757046061,-81.609442079063,60.40180380997673,normal
7,2025-11-06 19:55:36.236675,23.72782895594115,2594.928223534405,-92.93142159568336,60.10970711868433,normal
8,2025-11-06 23:44:26.236675,34.439281430719284,2631.371373088771,-90.75602875129799,46.74686475974105,normal
9,2025-11-06 22:55:18.236675,34.12443659548228,2667.509632731881,-81.23282860864339,49.236733492588414,normal
10,2025-11-06 19:51:02.236675,28.710467288980816,2683.260357448285,-77.28008888693104,61.01525055459143,normal
11,2025-11-06 21:47:30.236675,31.18251996734344,2892.47641917728,-78.97733494855902,60.81827582306313,normal
12,2025-11-06 23:05:10.236675,24.909140267004084,2708.3521568106785,-83.53118494146726,52.94408873845819,normal
13,2025-11-06 22:32:02.236675,27.764983974078152,2714.5500849819236,-80.77432603613352,53.19529891542684,normal
14,2025-11-06 20:47:58.236675,26.389163776686928,2928.6433161331406,-84.68275231679016,59.24828537153438,normal
15,2025-11-07 00:51:06.236675,28.11,2580.96,-108.97,27.87,signal_degradation
16,2025-11-07 00:25:20.236675,33.257869310096694,2858.4816499024787,-89.78166765947309,58.27411274339748,normal
17,2025-11-06 19:55:48.236675,37.19918094044231,2646.94094665369,-77.39241878921412,66.33354243403011,normal
18,2025-11-06 21:43:38.236675,35.100044345502276,2575.3238582845497,-89.91632454596487,55.31425658676372,normal
19,2025-11-06 21:44:20.236675,35.9912685201229,2807.0734833718484,-91.87316222657829,46.910511785059754,normal
20,2025-11-06 21:21:16.236675,37.06932945069272,2806.3025790215447,-91.68707281649597,69.41332131277079,normal
21,2025-11-07 00:46:40.236675,33.6,3980.44,-85.48,45.81,power_surge
22,2025-11-06 21:51:16.236675,34.192756331221396,2609.775929970075,-80.0220362589711,74.1755220636991,normal
23,2025-11-06 22:32:20.236675,33.88898205693648,2747.789835138253,-91.40511735622874,56.13078164616428,normal
24,2025-11-07 01:03:52.236675,57.32,2593.08,-78.14,57.03,cooling_failure
25,2025-11-06 23:18:12.236675,25.134002725371452,2875.0076503232126,-88.77351508640729,49.52858053000779,normal
